"date,channel,currency,row_spend,impressions,clicks,conversions,revenue,clean_data,adspend_usd"
"05-jan-2025,linkedin ads,USD,2423,885,18,3,171,2025-01-05,"
"2025/01/01,linkedin ads,EUR,1949,771,19,0,0,2025-01-01,2118.478260869565"
"2025/01/04,instagram,EUR,903,371,28,5,205,2025-01-04,981.5217391304348"
"2025.01.03,instagram,EUR,1877,929,12,1,54,2025-01-03,2040.2173913043478"
"2025/01/04,Google ads,USD,2971,407,18,1,43,2025-01-04,"
"2025/01/04,linkedin ads,USD,562,228,26,2,102,2025-01-04,"
"2025/01/04,Google ads,EUR,498,383,24,4,200,2025-01-04,541.3043478260869"
"05-jan-2025,Google ads,INR,2687,372,22,4,208,2025-01-05,32.373493975903614"
"05-jan-2025,facebook ads,EUR,1680,708,13,4,204,2025-01-05,1826.086956521739"
"2025.01.03,instagram,EUR,979,524,12,3,120,2025-01-03,1064.1304347826087"
"2025/01/01,Google ads,USD,2231,553,10,1,58,2025-01-01,"
"2025/01/04,instagram,INR,805,884,29,1,47,2025-01-04,9.698795180722891"
"2025.01.03,linkedin ads,USD,437,176,23,4,196,2025-01-03,"
"2025/01/04,facebook ads,EUR,611,891,10,0,0,2025-01-04,664.1304347826086"
"2025.01.03,Google ads,EUR,2923,764,10,3,150,2025-01-03,3177.173913043478"
"01/02/2025,linkedin ads,USD,771,107,22,4,228,2025-01-02,"
"2025.01.03,facebook ads,EUR,649,853,26,3,177,2025-01-03,705.4347826086956"
"05-jan-2025,instagram,USD,1493,411,16,1,55,2025-01-05,"
"2025/01/01,linkedin ads,EUR,2654,351,21,1,56,2025-01-01,2884.782608695652"
"01/02/2025,instagram,USD,632,173,13,4,204,2025-01-02,"
"05-jan-2025,linkedin ads,EUR,1806,804,15,1,45,2025-01-05,1963.0434782608695"
"05-jan-2025,linkedin ads,EUR,2807,629,11,4,200,2025-01-05,3051.086956521739"
"2025.01.03,Google ads,EUR,2363,909,10,2,82,2025-01-03,2568.478260869565"
"2025/01/01,Google ads,INR,2074,337,28,0,0,2025-01-01,24.987951807228917"
"2025.01.03,instagram,INR,2683,517,16,4,212,2025-01-03,32.325301204819276"
"05-jan-2025,Google ads,EUR,2016,223,21,1,43,2025-01-05,2191.304347826087"
"01/02/2025,Google ads,INR,2410,807,10,3,144,2025-01-02,29.03614457831325"
"05-jan-2025,Google ads,INR,513,572,26,0,0,2025-01-05,6.180722891566265"
"2025/01/01,linkedin ads,USD,907,369,28,3,162,2025-01-01,"
"2025/01/04,Google ads,EUR,507,603,12,0,0,2025-01-04,551.0869565217391"
"01/02/2025,linkedin ads,EUR,202,923,28,3,129,2025-01-02,219.56521739130434"
"05-jan-2025,linkedin ads,EUR,2253,232,16,2,118,2025-01-05,2448.913043478261"
"01/02/2025,linkedin ads,INR,429,598,11,4,196,2025-01-02,5.168674698795181"
"05-jan-2025,facebook ads,INR,527,619,12,0,0,2025-01-05,6.349397590361446"
"2025/01/01,facebook ads,EUR,1187,636,12,4,172,2025-01-01,1290.2173913043478"
"2025/01/01,Google ads,USD,1198,186,18,4,236,2025-01-01,"
"05-jan-2025,facebook ads,EUR,956,131,26,2,112,2025-01-05,1039.1304347826087"
"05-jan-2025,facebook ads,INR,1867,566,20,4,176,2025-01-05,22.49397590361446"
"05-jan-2025,instagram,INR,2710,321,24,2,114,2025-01-05,32.65060240963855"
"2025.01.03,Google ads,EUR,1820,858,14,4,184,2025-01-03,1978.2608695652173"
"05-jan-2025,Google ads,INR,1152,572,20,4,184,2025-01-05,13.879518072289157"
"05-jan-2025,facebook ads,EUR,441,375,26,0,0,2025-01-05,479.3478260869565"
"2025/01/04,instagram,USD,2777,522,15,2,112,2025-01-04,"
"2025/01/04,facebook ads,INR,1482,330,24,3,174,2025-01-04,17.85542168674699"
"2025/01/01,facebook ads,EUR,700,669,12,3,147,2025-01-01,760.8695652173913"
"2025/01/01,linkedin ads,EUR,442,485,16,3,165,2025-01-01,480.4347826086956"
"2025/01/01,facebook ads,EUR,2490,420,21,3,147,2025-01-01,2706.5217391304345"
"2025/01/01,instagram,EUR,287,348,25,5,255,2025-01-01,311.95652173913044"
"2025/01/04,instagram,EUR,1947,660,26,2,106,2025-01-04,2116.304347826087"
"2025/01/01,instagram,EUR,2103,140,24,4,204,2025-01-01,2285.869565217391"
"2025/01/04,linkedin ads,EUR,1910,985,25,3,129,2025-01-04,2076.086956521739"
"05-jan-2025,facebook ads,EUR,1002,208,21,1,49,2025-01-05,1089.1304347826087"
"2025.01.03,Google ads,USD,2619,415,18,0,0,2025-01-03,"
"05-jan-2025,Google ads,INR,595,507,23,0,0,2025-01-05,7.168674698795181"
"2025/01/04,Google ads,USD,1213,508,28,0,0,2025-01-04,"
"2025/01/01,linkedin ads,USD,1916,770,24,1,47,2025-01-01,"
"01/02/2025,instagram,INR,1502,760,17,3,129,2025-01-02,18.096385542168676"
"05-jan-2025,facebook ads,INR,2319,173,27,3,159,2025-01-05,27.93975903614458"
"05-jan-2025,facebook ads,INR,2425,636,16,3,150,2025-01-05,29.216867469879517"
"05-jan-2025,linkedin ads,USD,647,860,27,0,0,2025-01-05,"
"01/02/2025,instagram,INR,2259,781,17,0,0,2025-01-02,27.216867469879517"
"01/02/2025,facebook ads,USD,2869,376,23,3,132,2025-01-02,"
"2025/01/01,Google ads,EUR,1331,303,24,3,174,2025-01-01,1446.7391304347825"
"2025/01/04,Google ads,USD,664,623,29,0,0,2025-01-04,"
"01/02/2025,instagram,INR,1130,385,24,5,240,2025-01-02,13.614457831325302"
"2025.01.03,Google ads,EUR,2118,867,13,0,0,2025-01-03,2302.173913043478"
"2025.01.03,Google ads,INR,2937,682,24,4,160,2025-01-03,35.3855421686747"
"2025/01/01,Google ads,USD,2219,153,14,2,86,2025-01-01,"
"2025/01/01,instagram,USD,675,684,25,5,295,2025-01-01,"
"2025.01.03,instagram,INR,618,144,21,3,120,2025-01-03,7.445783132530121"
"2025.01.03,facebook ads,INR,838,882,17,3,168,2025-01-03,10.096385542168674"
"2025/01/01,facebook ads,USD,306,271,12,4,220,2025-01-01,"
"01/02/2025,instagram,INR,1061,896,27,2,92,2025-01-02,12.783132530120483"
"2025/01/04,facebook ads,INR,423,790,12,1,58,2025-01-04,5.096385542168675"
"2025.01.03,linkedin ads,INR,2993,142,15,2,112,2025-01-03,36.06024096385542"
"2025/01/04,instagram,INR,1584,749,18,0,0,2025-01-04,19.08433734939759"
"2025.01.03,Google ads,USD,2108,979,14,2,84,2025-01-03,"
"2025/01/04,facebook ads,USD,1371,748,27,4,216,2025-01-04,"
"2025/01/01,instagram,EUR,1364,336,21,1,56,2025-01-01,1482.6086956521738"
"01/02/2025,linkedin ads,INR,526,680,23,3,171,2025-01-02,6.337349397590361"
"2025/01/01,linkedin ads,EUR,2085,270,11,4,188,2025-01-01,2266.304347826087"
"2025/01/01,Google ads,EUR,1719,227,27,3,135,2025-01-01,1868.4782608695652"
"05-jan-2025,facebook ads,EUR,2424,632,23,0,0,2025-01-05,2634.782608695652"
"2025/01/04,instagram,USD,563,207,25,2,94,2025-01-04,"
"01/02/2025,Google ads,USD,1872,614,14,0,0,2025-01-02,"
"2025/01/01,facebook ads,USD,605,391,18,0,0,2025-01-01,"
"2025.01.03,instagram,EUR,2376,550,10,2,92,2025-01-03,2582.608695652174"
"05-jan-2025,instagram,USD,2422,317,16,4,196,2025-01-05,"
"2025.01.03,linkedin ads,INR,397,481,17,4,196,2025-01-03,4.783132530120482"
"01/02/2025,instagram,EUR,370,575,14,0,0,2025-01-02,402.17391304347825"
"01/02/2025,instagram,EUR,1176,365,24,3,174,2025-01-02,1278.2608695652173"
"2025/01/01,instagram,INR,2880,701,10,4,232,2025-01-01,34.69879518072289"
"05-jan-2025,linkedin ads,INR,445,285,17,1,48,2025-01-05,5.36144578313253"
"2025/01/04,Google ads,INR,910,187,24,4,216,2025-01-04,10.963855421686747"
"01/02/2025,instagram,EUR,1354,520,29,1,43,2025-01-02,1471.7391304347825"
"2025.01.03,instagram,EUR,2441,696,24,4,188,2025-01-03,2653.2608695652175"
"05-jan-2025,linkedin ads,USD,483,232,11,2,106,2025-01-05,"
"01/02/2025,linkedin ads,USD,733,822,13,2,102,2025-01-02,"
"2025/01/04,linkedin ads,INR,577,123,20,4,188,2025-01-04,6.951807228915663"
"01/02/2025,Google ads,USD,1589,742,19,4,160,2025-01-02,"
"2025/01/01,Google ads,INR,2465,230,19,2,118,2025-01-01,29.698795180722893"
"01/02/2025,Google ads,USD,2979,194,28,0,0,2025-01-02,"
"05-jan-2025,facebook ads,EUR,1596,258,19,3,123,2025-01-05,1734.782608695652"
"2025/01/04,Google ads,USD,2143,819,19,1,52,2025-01-04,"
"2025/01/04,Google ads,INR,1173,306,11,4,200,2025-01-04,14.132530120481928"
"2025.01.03,linkedin ads,USD,2629,593,28,1,42,2025-01-03,"
"01/02/2025,linkedin ads,EUR,1636,381,15,1,57,2025-01-02,1778.2608695652173"
"01/02/2025,Google ads,USD,1721,399,15,0,0,2025-01-02,"
"01/02/2025,instagram,EUR,2228,868,19,4,204,2025-01-02,2421.7391304347825"
"01/02/2025,instagram,USD,1707,405,19,4,188,2025-01-02,"
"2025.01.03,linkedin ads,USD,2808,626,26,2,82,2025-01-03,"
"01/02/2025,linkedin ads,INR,1355,661,23,0,0,2025-01-02,16.325301204819276"
"2025.01.03,instagram,EUR,2472,775,22,1,40,2025-01-03,2686.9565217391305"
"2025.01.03,Google ads,EUR,2400,979,29,2,112,2025-01-03,2608.695652173913"
"2025/01/04,facebook ads,INR,1943,135,21,3,132,2025-01-04,23.40963855421687"
"01/02/2025,Google ads,INR,962,314,11,0,0,2025-01-02,11.590361445783133"
"2025/01/04,linkedin ads,INR,2754,911,24,2,80,2025-01-04,33.18072289156626"
"01/02/2025,linkedin ads,INR,1303,151,10,4,196,2025-01-02,15.698795180722891"
"2025/01/01,linkedin ads,INR,1095,147,21,2,108,2025-01-01,13.19277108433735"
"2025.01.03,instagram,USD,1423,327,21,1,46,2025-01-03,"
"01/02/2025,instagram,INR,1987,124,22,5,230,2025-01-02,23.93975903614458"
"2025/01/01,Google ads,USD,569,430,24,0,0,2025-01-01,"
"2025/01/04,Google ads,USD,2898,485,21,3,162,2025-01-04,"
"2025.01.03,Google ads,USD,2276,889,19,1,47,2025-01-03,"
"05-jan-2025,linkedin ads,EUR,1628,445,23,4,188,2025-01-05,1769.5652173913043"
"2025.01.03,facebook ads,INR,594,424,19,4,224,2025-01-03,7.156626506024097"
"01/02/2025,instagram,EUR,1386,880,25,5,250,2025-01-02,1506.5217391304348"
"01/02/2025,linkedin ads,EUR,940,289,28,2,116,2025-01-02,1021.7391304347825"
"2025.01.03,facebook ads,EUR,1786,101,13,1,56,2025-01-03,1941.3043478260868"
"2025/01/01,instagram,EUR,812,350,14,4,196,2025-01-01,882.6086956521739"
"2025.01.03,Google ads,INR,2205,360,10,4,176,2025-01-03,26.566265060240966"
"2025/01/01,facebook ads,EUR,1079,548,15,3,135,2025-01-01,1172.8260869565217"
"01/02/2025,instagram,USD,641,980,11,2,90,2025-01-02,"
"01/02/2025,facebook ads,USD,202,941,29,1,46,2025-01-02,"
"05-jan-2025,instagram,INR,2584,640,15,0,0,2025-01-05,31.132530120481928"
"2025/01/01,instagram,INR,1411,915,21,3,126,2025-01-01,17.0"
"05-jan-2025,linkedin ads,INR,1434,646,14,1,45,2025-01-05,17.27710843373494"
"2025.01.03,instagram,INR,2740,913,12,1,44,2025-01-03,33.01204819277108"
"2025/01/01,linkedin ads,EUR,1912,824,15,3,168,2025-01-01,2078.2608695652175"
"2025/01/04,Google ads,USD,2085,679,20,4,160,2025-01-04,"
"2025/01/01,linkedin ads,INR,2388,804,11,4,180,2025-01-01,28.771084337349397"
"01/02/2025,facebook ads,INR,1052,511,22,0,0,2025-01-02,12.674698795180722"
"2025.01.03,Google ads,EUR,581,978,10,1,45,2025-01-03,631.5217391304348"
"01/02/2025,facebook ads,INR,424,453,16,2,104,2025-01-02,5.108433734939759"
"2025/01/01,instagram,INR,2534,157,12,3,150,2025-01-01,30.53012048192771"
"2025/01/04,linkedin ads,USD,2346,860,13,3,132,2025-01-04,"
"01/02/2025,Google ads,USD,907,281,11,3,156,2025-01-02,"
"01/02/2025,facebook ads,EUR,358,946,18,3,153,2025-01-02,389.1304347826087"
"05-jan-2025,facebook ads,EUR,1152,363,28,1,43,2025-01-05,1252.1739130434783"
"01/02/2025,linkedin ads,USD,822,451,26,3,120,2025-01-02,"
"01/02/2025,linkedin ads,INR,316,317,24,2,82,2025-01-02,3.8072289156626504"
"2025/01/01,instagram,EUR,2899,506,14,2,114,2025-01-01,3151.086956521739"
"2025/01/01,Google ads,USD,2491,729,13,0,0,2025-01-01,"
"01/02/2025,Google ads,INR,2934,143,12,2,84,2025-01-02,35.34939759036145"
"2025/01/01,facebook ads,USD,1208,852,17,2,118,2025-01-01,"
"05-jan-2025,linkedin ads,USD,1050,411,19,3,153,2025-01-05,"
"2025.01.03,linkedin ads,USD,2306,662,17,3,141,2025-01-03,"
"2025.01.03,facebook ads,USD,1576,211,23,2,102,2025-01-03,"
"2025/01/01,linkedin ads,EUR,1911,804,25,3,129,2025-01-01,2077.173913043478"
"2025.01.03,facebook ads,EUR,2300,738,12,3,120,2025-01-03,2500.0"
"05-jan-2025,linkedin ads,EUR,1625,878,13,1,50,2025-01-05,1766.3043478260868"
"01/02/2025,linkedin ads,USD,917,494,17,2,114,2025-01-02,"
"2025.01.03,linkedin ads,EUR,1923,442,17,3,144,2025-01-03,2090.2173913043475"
"01/02/2025,linkedin ads,USD,1572,165,20,2,98,2025-01-02,"
"2025/01/04,facebook ads,EUR,365,947,12,2,102,2025-01-04,396.73913043478257"
"2025/01/01,Google ads,EUR,1565,278,24,2,118,2025-01-01,1701.086956521739"
"05-jan-2025,instagram,USD,2943,445,29,2,108,2025-01-05,"
"2025.01.03,facebook ads,USD,1007,963,27,4,232,2025-01-03,"
"2025.01.03,linkedin ads,INR,1894,455,12,4,204,2025-01-03,22.819277108433734"
"05-jan-2025,instagram,INR,630,690,10,3,147,2025-01-05,7.590361445783133"
"05-jan-2025,linkedin ads,USD,1035,147,23,2,110,2025-01-05,"
"05-jan-2025,linkedin ads,EUR,2548,169,28,1,54,2025-01-05,2769.565217391304"
"01/02/2025,facebook ads,EUR,2800,419,16,0,0,2025-01-02,3043.478260869565"
"2025/01/01,Google ads,USD,2753,863,20,1,54,2025-01-01,"
"05-jan-2025,linkedin ads,INR,1693,202,25,1,40,2025-01-05,20.397590361445783"
"2025/01/04,facebook ads,EUR,294,727,21,3,144,2025-01-04,319.5652173913043"
"2025.01.03,Google ads,EUR,1092,307,27,2,90,2025-01-03,1186.9565217391305"
"01/02/2025,facebook ads,INR,904,390,28,3,177,2025-01-02,10.891566265060241"
"05-jan-2025,instagram,USD,938,972,17,2,100,2025-01-05,"
"2025/01/04,facebook ads,USD,2346,440,23,1,47,2025-01-04,"
"05-jan-2025,facebook ads,EUR,2597,891,11,1,51,2025-01-05,2822.8260869565215"
"01/02/2025,linkedin ads,EUR,1155,451,28,1,44,2025-01-02,1255.4347826086955"
"2025.01.03,instagram,USD,2144,429,27,3,144,2025-01-03,"
"01/02/2025,facebook ads,INR,1954,658,18,2,108,2025-01-02,23.542168674698797"
"05-jan-2025,instagram,EUR,1402,803,16,1,56,2025-01-05,1523.9130434782608"
"2025/01/01,instagram,INR,1398,917,21,3,162,2025-01-01,16.843373493975903"
"01/02/2025,facebook ads,USD,1393,773,22,0,0,2025-01-02,"
"2025.01.03,Google ads,USD,390,884,10,3,165,2025-01-03,"
"2025/01/01,linkedin ads,USD,2358,824,26,3,156,2025-01-01,"
"05-jan-2025,Google ads,USD,646,421,23,3,135,2025-01-05,"
"2025.01.03,Google ads,EUR,2410,130,25,4,236,2025-01-03,2619.565217391304"
"2025/01/01,instagram,EUR,2982,799,23,2,112,2025-01-01,3241.304347826087"
"05-jan-2025,Google ads,EUR,2873,244,28,0,0,2025-01-05,3122.8260869565215"
"05-jan-2025,facebook ads,USD,2740,617,19,1,51,2025-01-05,"
